english	translation	category	sub_category	source
Barb bolttips	倒钩弩箭头	name	item	Barb bolttips
Longbow (u)	长弓 (未上弦)	name	item	Longbow (u)
Shortbow (u)	短弓 (未上弦)	name	item	Shortbow (u)
Arrow shaft	箭杆	name	item	Arrow shaft
Headless arrow	无镞箭	name	item	Headless arrow
Oak shortbow (u)	橡木短弓 (未上弦)	name	item	Oak shortbow (u)
Oak longbow (u)	橡木长弓 (未上弦)	name	item	Oak longbow (u)
Willow longbow (u)	柳木长弓 (未上弦)	name	item	Willow longbow (u)
Willow shortbow (u)	柳木短弓 (未上弦)	name	item	Willow shortbow (u)
Maple longbow (u)	枫木长弓 (未上弦)	name	item	Maple longbow (u)
Maple shortbow (u)	枫木短弓 (未上弦)	name	item	Maple shortbow (u)
Yew longbow (u)	紫杉长弓 (未上弦)	name	item	Yew longbow (u)
Yew shortbow (u)	紫杉短弓 (未上弦)	name	item	Yew shortbow (u)
Magic longbow (u)	魔法长弓 (未上弦)	name	item	Magic longbow (u)
Magic shortbow (u)	魔法短弓 (未上弦)	name	item	Magic shortbow (u)
Khazard helmet	卡扎德头盔	name	item	Khazard helmet
Khazard armour	卡扎德盔甲	name	item	Khazard armour
Khazard cell keys	卡扎德牢房钥匙	name	item	Khazard cell keys
Khali brew	卡利酒	name	item	Khali brew
Ice arrows	冰箭	name	item	Ice arrows
Lever	拉杆	name	item	Lever
Staff of armadyl	阿玛杜尔杖	name	item	Staff of armadyl
Shiny key	闪亮的钥匙	name	item	Shiny key
Pendant of lucien	卢西安的吊坠	name	item	Pendant of lucien
Armadyl pendant	阿玛杜尔吊坠	name	item	Armadyl pendant
Boots of lightness	轻灵之靴	name	item	Boots of lightness
Child's blanket	儿童毯	name	item	Child's blanket
Guam potion (unf)	瓜姆药水 (未完成)	name	item	Guam potion (unf)
Marrentill potion (unf)	马伦提尔药水 (未完成)	name	item	Marrentill potion (unf)
Tarromin potion (unf)	塔罗明药水 (未完成)	name	item	Tarromin potion (unf)
Harralander potion (unf)	哈拉兰德药水 (未完成)	name	item	Harralander potion (unf)
Ranarr potion (unf)	拉纳尔药水 (未完成)	name	item	Ranarr potion (unf)
Irit potion (unf)	伊瑞特药水 (未完成)	name	item	Irit potion (unf)
Avantoe potion (unf)	阿凡托药水 (未完成)	name	item	Avantoe potion (unf)
Kwuarm potion (unf)	库阿姆药水 (未完成)	name	item	Kwuarm potion (unf)
Cadantine potion (unf)	卡丹丁药水 (未完成)	name	item	Cadantine potion (unf)
Dwarf weed potion (unf)	矮人草药水 (未完成)	name	item	Dwarf weed potion (unf)
Torstol potion (unf)	托斯托尔药水 (未完成)	name	item	Torstol potion (unf)
Strength potion(4)	力量药水 (4)	name	item	Strength potion(4)
Strength potion(3)	力量药水 (3)	name	item	Strength potion(3)
Strength potion(2)	力量药水 (2)	name	item	Strength potion(2)
Strength potion(1)	力量药水 (1)	name	item	Strength potion(1)
Attack potion(3)	攻击药水 (3)	name	item	Attack potion(3)
Attack potion(2)	攻击药水 (2)	name	item	Attack potion(2)
Attack potion(1)	攻击药水 (1)	name	item	Attack potion(1)
Restore potion(3)	恢复药水 (3)	name	item	Restore potion(3)
Restore potion(2)	恢复药水 (2)	name	item	Restore potion(2)
Restore potion(1)	恢复药水 (1)	name	item	Restore potion(1)
Defence potion(3)	防御药水 (3)	name	item	Defence potion(3)
Defence potion(2)	防御药水 (2)	name	item	Defence potion(2)
Defence potion(1)	防御药水 (1)	name	item	Defence potion(1)
Prayer potion(3)	祈祷药水 (3)	name	item	Prayer potion(3)
Prayer potion(2)	祈祷药水 (2)	name	item	Prayer potion(2)
Prayer potion(1)	祈祷药水 (1)	name	item	Prayer potion(1)
Super attack(3)	超级攻击药水 (3)	name	item	Super attack(3)
Super attack(2)	超级攻击药水 (2)	name	item	Super attack(2)
Super attack(1)	超级攻击药水 (1)	name	item	Super attack(1)
Fishing potion(3)	钓鱼药水 (3)	name	item	Fishing potion(3)
Fishing potion(2)	钓鱼药水 (2)	name	item	Fishing potion(2)
Fishing potion(1)	钓鱼药水 (1)	name	item	Fishing potion(1)
Super strength(3)	超级力量药水 (3)	name	item	Super strength(3)
Super strength(2)	超级力量药水 (2)	name	item	Super strength(2)
Super strength(1)	超级力量药水 (1)	name	item	Super strength(1)
Super defence(3)	超级防御药水 (3)	name	item	Super defence(3)
Super defence(2)	超级防御药水 (2)	name	item	Super defence(2)
Super defence(1)	超级防御药水 (1)	name	item	Super defence(1)
Ranging potion(3)	射手药水 (3)	name	item	Ranging potion(3)
Ranging potion(2)	射手药水 (2)	name	item	Ranging potion(2)
Ranging potion(1)	射手药水 (1)	name	item	Ranging potion(1)
Antipoison(3)	解毒剂 (3)	name	item	Antipoison(3)
Antipoison(2)	解毒剂 (2)	name	item	Antipoison(2)
Antipoison(1)	解毒剂 (1)	name	item	Antipoison(1)
Superantipoison(3)	超级解毒剂 (3)	name	item	Superantipoison(3)
Superantipoison(2)	超级解毒剂 (2)	name	item	Superantipoison(2)
Superantipoison(1)	超级解毒剂 (1)	name	item	Superantipoison(1)
Weapon poison	武器毒素	name	item	Weapon poison
Zamorak brew(3)	扎莫拉克灵药 (3)	name	item	Zamorak brew(3)
Zamorak brew(2)	扎莫拉克灵药 (2)	name	item	Zamorak brew(2)
Zamorak brew(1)	扎莫拉克灵药 (1)	name	item	Zamorak brew(1)
Potion	药水	name	item	Potion
Poison chalice	毒酒杯	name	item	Poison chalice
Grimy guam leaf	未清洗的瓜姆叶	name	item	Grimy guam leaf
Grimy marrentill	未清洗的马伦提尔草	name	item	Grimy marrentill
Grimy tarromin	未清洗的塔罗明草	name	item	Grimy tarromin
Grimy harralander	未清洗的哈拉兰德草	name	item	Grimy harralander
Grimy ranarr weed	未清洗的拉纳尔草	name	item	Grimy ranarr weed
Grimy irit leaf	未清洗的伊瑞特叶	name	item	Grimy irit leaf
Grimy avantoe	未清洗的阿凡托草	name	item	Grimy avantoe
Grimy kwuarm	未清洗的库阿姆草	name	item	Grimy kwuarm
Grimy cadantine	未清洗的卡丹丁草	name	item	Grimy cadantine
Grimy dwarf weed	未清洗的矮人草	name	item	Grimy dwarf weed
Grimy torstol	未清洗的托斯托尔草	name	item	Grimy torstol
Eye of newt	蝾螈眼	name	item	Eye of newt
Red spiders' eggs	红蜘蛛卵	name	item	Red spiders' eggs
Limpwurt root	软木草根	name	item	Limpwurt root
Vial of water	水瓶	name	item	Vial of water
Vial	小瓶	name	item	Vial
Snape grass	斯内普草	name	item	Snape grass
Pestle and mortar	研钵和杵	name	item	Pestle and mortar
Unicorn horn dust	独角兽角粉	name	item	Unicorn horn dust
Unicorn horn	独角兽的角	name	item	Unicorn horn
White berries	白莓	name	item	White berries
Dragon scale dust	龙鳞粉	name	item	Dragon scale dust
Blue dragon scale	蓝龙鳞	name	item	Blue dragon scale
Wine of zamorak	扎莫拉克葡萄酒	name	item	Wine of zamorak
Jangerberries	姜格莓	name	item	Jangerberries
Guam leaf	瓜姆叶	name	item	Guam leaf
Marrentill	马伦提尔草	name	item	Marrentill
Tarromin	塔罗明草	name	item	Tarromin
Harralander	哈拉兰德草	name	item	Harralander
Ranarr weed	拉纳尔草	name	item	Ranarr weed
Irit leaf	伊瑞特叶	name	item	Irit leaf
Avantoe	阿凡托草	name	item	Avantoe
Kwuarm	库阿姆草	name	item	Kwuarm
Cadantine	卡丹丁草	name	item	Cadantine
Dwarf weed	矮人草	name	item	Dwarf weed
Torstol	托斯托尔草	name	item	Torstol
Pressure gauge	压力表	name	item	Pressure gauge
Fish food	鱼粮	name	item	Fish food
Poison	毒药	name	item	Poison
Poisoned fish food	有毒的鱼粮	name	item	Poisoned fish food
Key	钥匙	name	item	Key
Rubber tube	橡胶管	name	item	Rubber tube
Oil can	油罐	name	item	Oil can
Cattleprod	赶牛棒	name	item	Cattleprod
Sheep feed	羊饲料	name	item	Sheep feed
Sheep bones (1)	羊骨 (1)	name	item	Sheep bones (1)
Sheep bones (2)	羊骨 (2)	name	item	Sheep bones (2)
Sheep bones (3)	羊骨 (3)	name	item	Sheep bones (3)
Sheep bones (4)	羊骨 (4)	name	item	Sheep bones (4)
Plague jacket	瘟疫外套	name	item	Plague jacket
Plague trousers	瘟疫长裤	name	item	Plague trousers
Orange goblin mail	橙色哥布林链甲	name	item	Orange goblin mail
Blue goblin mail	蓝色哥布林链甲	name	item	Blue goblin mail
Goblin mail	哥布林链甲	name	item	Goblin mail
Research package	研究包裹	name	item	Research package
Research notes	研究笔记	name	item	Research notes
Book on baxtorian	巴克斯托里安传记	name	item	Book on baxtorian
Glarial's pebble	格拉利尔的鹅卵石	name	item	Glarial's pebble
Glarial's amulet	格拉利尔的护符	name	item	Glarial's amulet
Glarial's urn	格拉利尔的骨灰瓮	name	item	Glarial's urn
Glarial's urn (empty)	格拉利尔的骨灰瓮 (空)	name	item	Glarial's urn (empty)
Mithril seeds	秘银种子	name	item	Mithril seeds
Rat's tail	鼠尾	name	item	Rat's tail
Lobster pot	龙虾笼	name	item	Lobster pot
Small fishing net	小渔网	name	item	Small fishing net
Big fishing net	大渔网	name	item	Big fishing net
Fishing rod	鱼竿	name	item	Fishing rod
Fly fishing rod	飞钓竿	name	item	Fly fishing rod
Harpoon	鱼叉	name	item	Harpoon
Fishing bait	鱼饵	name	item	Fishing bait
Feather	羽毛	name	item	Feather
Shrimps	虾	name	item	Shrimps
Raw shrimps	生虾	name	item	Raw shrimps
Anchovies	凤尾鱼	name	item	Anchovies
Raw anchovies	生凤尾鱼	name	item	Raw anchovies
Burnt fish	烧焦的鱼	name	item	Burnt fish
Sardine	沙丁鱼	name	item	Sardine
Raw sardine	生沙丁鱼	name	item	Raw sardine
Salmon	鲑鱼	name	item	Salmon
Raw salmon	生鲑鱼	name	item	Raw salmon
Trout	鳟鱼	name	item	Trout
Raw trout	生鳟鱼	name	item	Raw trout
Giant carp	巨鲤鱼	name	item	Giant carp
Raw giant carp	生巨鲤鱼	name	item	Raw giant carp
Cod	鳕鱼	name	item	Cod
Raw cod	生鳕鱼	name	item	Raw cod
Raw herring	生鲱鱼	name	item	Raw herring
Herring	鲱鱼	name	item	Herring
Raw pike	生狗鱼	name	item	Raw pike
Pike	狗鱼	name	item	Pike
Raw mackerel	生鲭鱼	name	item	Raw mackerel
Mackerel	鲭鱼	name	item	Mackerel
Raw tuna	生金枪鱼	name	item	Raw tuna
Tuna	金枪鱼	name	item	Tuna
Raw bass	生鲈鱼	name	item	Raw bass
Bass	鲈鱼	name	item	Bass
Raw swordfish	生剑鱼	name	item	Raw swordfish
Swordfish	剑鱼	name	item	Swordfish
Burnt swordfish	烧焦的剑鱼	name	item	Burnt swordfish
Raw lobster	生龙虾	name	item	Raw lobster
Lobster	龙虾	name	item	Lobster
Burnt lobster	烧焦的龙虾	name	item	Burnt lobster
Raw shark	生鲨鱼	name	item	Raw shark
Shark	鲨鱼	name	item	Shark
Burnt shark	烧焦的鲨鱼	name	item	Burnt shark
Raw manta ray	生魔鬼鱼	name	item	Raw manta ray
Manta ray	魔鬼鱼	name	item	Manta ray
Burnt manta ray	烧焦的魔鬼鱼	name	item	Burnt manta ray
Raw sea turtle	生海龟	name	item	Raw sea turtle
Sea turtle	海龟	name	item	Sea turtle
Burnt sea turtle	烧焦的海龟	name	item	Burnt sea turtle
Seaweed	海藻	name	item	Seaweed
Edible seaweed	食用海藻	name	item	Edible seaweed
Casket	宝箱	name	item	Casket
Oyster	牡蛎	name	item	Oyster
Empty oyster	空牡蛎	name	item	Empty oyster
Oyster pearl	牡蛎珍珠	name	item	Oyster pearl
Oyster pearls	牡蛎珍珠	name	item	Oyster pearls
Ethenea	乙醚	name	item	Ethenea
Liquid honey	液态蜂蜜	name	item	Liquid honey
Sulphuric broline	硫酸溴林	name	item	Sulphuric broline
Plague sample	瘟疫样本	name	item	Plague sample
Touch paper	引火纸	name	item	Touch paper
Distillator	蒸馏器	name	item	Distillator
Lathas' amulet	拉萨斯的护符	name	item	Lathas' amulet
Bird feed	鸟饲料	name	item	Bird feed
Pigeon cage	鸽子笼	name	item	Pigeon cage
Priest gown	祭司长袍	name	item	Priest gown
Medical gown	医用长袍	name	item	Medical gown
Karamjan rum	卡拉姆詹朗姆酒	name	item	Karamjan rum
Chest key	宝箱钥匙	name	item	Chest key
Pirate message	海盗信息	name	item	Pirate message
Clay	粘土	name	item	Clay
Copper ore	铜矿石	name	item	Copper ore
Tin ore	锡矿石	name	item	Tin ore
Iron ore	铁矿石	name	item	Iron ore
Silver ore	银矿石	name	item	Silver ore
Gold ore	金矿石	name	item	Gold ore
'perfect' gold ore	'完美''金矿石	name	item	'perfect' gold ore
Mithril ore	秘银矿石	name	item	Mithril ore
Adamantite ore	精金矿石	name	item	Adamantite ore
Runite ore	符文矿石	name	item	Runite ore
Coal	煤	name	item	Coal
Barcrawl card	酒吧巡游卡	name	item	Barcrawl card
Scorpion cage	蝎子笼	name	item	Scorpion cage
Strange fruit	奇异果	name	item	Strange fruit
Pickaxe handle	镐柄	name	item	Pickaxe handle
Broken pickaxe	破损的镐	name	item	Broken pickaxe
Bronze pick head	青铜镐头	name	item	Bronze pick head
Iron pick head	铁制镐头	name	item	Iron pick head
Steel pick head	钢制镐头	name	item	Steel pick head
Mithril pick head	秘银镐头	name	item	Mithril pick head
Adamant pick head	精金镐头	name	item	Adamant pick head
Rune pick head	符文镐头	name	item	Rune pick head
Axe handle	斧柄	name	item	Axe handle
Broken axe	破损的斧	name	item	Broken axe
Bronze axe head	青铜斧头	name	item	Bronze axe head
Iron axe head	铁制斧头	name	item	Iron axe head
Steel axe head	钢斧头	name	item	Steel axe head
Black axe head	黑铁斧头	name	item	Black axe head
Mithril axe head	秘银斧头	name	item	Mithril axe head
Adamant axe head	精金斧头	name	item	Adamant axe head
Rune axe head	符文斧头	name	item	Rune axe head
Enchanted beef	魔法牛肉	name	item	Enchanted beef
Enchanted rat	魔法鼠肉	name	item	Enchanted rat
Enchanted bear	魔法熊肉	name	item	Enchanted bear
Enchanted chicken	魔法鸡肉	name	item	Enchanted chicken
Bones	骨头	name	item	Bones
Burnt bones	焦骨	name	item	Burnt bones
Bat bones	蝙蝠骨头	name	item	Bat bones
Big bones	大骨头	name	item	Big bones
Babydragon bones	幼龙骨	name	item	Babydragon bones
Dragon bones	龙骨	name	item	Dragon bones
Druid's robe	德鲁伊长袍	name	item	Druid's robe
Druid's robe top	德鲁伊长袍上衣	name	item	Druid's robe top
Monk's robe	僧侣长袍	name	item	Monk's robe
Monk's robe top	僧侣长袍上衣	name	item	Monk's robe top
Shade robe top	阴魂长袍上衣	name	item	Shade robe top
Shade robe	阴魂长袍	name	item	Shade robe
Newcomer map	新手地图	name	item	Newcomer map
Ghostspeak amulet	鬼语护符	name	item	Ghostspeak amulet
Ghost's skull	幽灵头骨	name	item	Ghost's skull
Fire rune	火符石	name	item	Fire rune
Water rune	水符石	name	item	Water rune
Air rune	风符石	name	item	Air rune
Earth rune	大地符石	name	item	Earth rune
Mind rune	心灵符石	name	item	Mind rune
Body rune	躯体符石	name	item	Body rune
Death rune	死亡符石	name	item	Death rune
Nature rune	自然符石	name	item	Nature rune
Chaos rune	混沌符石	name	item	Chaos rune
Law rune	律法符石	name	item	Law rune
Cosmic rune	宇宙符石	name	item	Cosmic rune
Blood rune	血符石	name	item	Blood rune
Soul rune	灵魂符石	name	item	Soul rune
Unpowered orb	未充能的宝珠	name	item	Unpowered orb
Fire orb	火宝珠	name	item	Fire orb
Water orb	水宝珠	name	item	Water orb
Air orb	风宝珠	name	item	Air orb
Earth orb	土宝珠	name	item	Earth orb
Blue wizard robe	蓝色法师袍	name	item	Blue wizard robe
Blue wizard hat	蓝色法师帽	name	item	Blue wizard hat
Black robe	黑色长袍	name	item	Black robe
Bailing bucket	舀水桶	name	item	Bailing bucket
Orb of protection	防护宝珠	name	item	Orb of protection
Orbs of protection	防护宝珠	name	item	Orbs of protection
Gnome amulet	地精护符	name	item	Gnome amulet
Tinderbox	火绒盒	name	item	Tinderbox
Ashes	灰烬	name	item	Ashes
Lit torch	已点燃的火把	name	item	Lit torch
Torch	火把	name	item	Torch
Unlit torch	未点燃的火把	name	item	Unlit torch
Bronze fire arrow	青铜火箭	name	item	Bronze fire arrow
Astronomy book	天文学史	name	item	Astronomy book
Goblin kitchen key	哥布林厨房钥匙	name	item	Goblin kitchen key
Lens mould	透镜模具	name	item	Lens mould
Observatory lens	天文台透镜	name	item	Observatory lens
Bone shard	骨片	name	item	Bone shard
Bone key	骨匙	name	item	Bone key
Stone-plaque	石碑	name	item	Stone-plaque
Tattered scroll	破烂的卷轴	name	item	Tattered scroll
Crumpled scroll	皱巴巴的卷轴	name	item	Crumpled scroll
Rashiliyia corpse	拉希利娅的尸体	name	item	Rashiliyia corpse
Zadimus corpse	扎迪穆斯的尸体	name	item	Zadimus corpse
Locating crystal	定位水晶	name	item	Locating crystal
Beads of the dead	亡者珠串	name	item	Beads of the dead
Coins	金币	name	item	Coins
Bone beads	骨珠	name	item	Bone beads
Paramaya ticket	帕拉玛雅住宿券	name	item	Paramaya ticket
Ship ticket	船票	name	item	Ship ticket
Sword pommel	剑柄	name	item	Sword pommel
Bervirius notes	伯维里乌斯的笔记	name	item	Bervirius notes
Wampum belt	贝壳串珠腰带	name	item	Wampum belt
Pink boots	粉色靴子	name	item	Pink boots
Green boots	绿色靴子	name	item	Green boots
Blue boots	蓝色靴子	name	item	Blue boots
Cream boots	奶油色靴子	name	item	Cream boots
Turquoise boots	绿松石色靴子	name	item	Turquoise boots
Pink robe top	粉色长袍上衣	name	item	Pink robe top
Green robe top	绿色长袍上衣	name	item	Green robe top
Blue robe top	蓝色长袍上衣	name	item	Blue robe top
Cream robe top	奶油色长袍上衣	name	item	Cream robe top
Turquoise robe top	绿松石色长袍上衣	name	item	Turquoise robe top
Pink robe bottoms	粉色长袍下装	name	item	Pink robe bottoms
Green robe bottoms	绿色长袍下装	name	item	Green robe bottoms
Blue robe bottoms	蓝色长袍下装	name	item	Blue robe bottoms
Cream robe bottoms	奶油色长袍下装	name	item	Cream robe bottoms
Turquoise robe bottoms	绿松石色长袍下装	name	item	Turquoise robe bottoms
Pink hat	粉色帽子	name	item	Pink hat
Green hat	绿色帽子	name	item	Green hat
Blue hat	蓝色帽子	name	item	Blue hat
Cream hat	奶油色帽子	name	item	Cream hat
Turquoise hat	绿松石色帽子	name	item	Turquoise hat
Portrait	肖像	name	item	Portrait
Blurite sword	蓝铁剑	name	item	Blurite sword
Blurite ore	蓝铁矿石	name	item	Blurite ore
Specimen jar	标本罐	name	item	Specimen jar
Specimen brush	标本刷	name	item	Specimen brush
Animal skull	动物头骨	name	item	Animal skull
Special cup	特殊杯子	name	item	Special cup
Teddy	泰迪熊	name	item	Teddy
Cracked sample	裂开的样本	name	item	Cracked sample
Rock pick	石鎬	name	item	Rock pick
Trowel	泥铲	name	item	Trowel
Panning tray	淘金盘	name	item	Panning tray
Nuggets	金块	name	item	Nuggets
Ancient talisman	古代护符	name	item	Ancient talisman
Unstamped letter	未盖章的信件	name	item	Unstamped letter
Sealed letter	密封信件	name	item	Sealed letter
Belt buckle	皮带扣	name	item	Belt buckle
Old boot	旧靴子	name	item	Old boot
Rusty sword	生锈的剑	name	item	Rusty sword
Broken arrow	断箭	name	item	Broken arrow
Buttons	纽扣	name	item	Buttons
Broken staff	断杖	name	item	Broken staff
Broken glass	碎玻璃	name	item	Broken glass
Level 1 certificate	一级证书	name	item	Level 1 certificate
Level 2 certificate	二级证书	name	item	Level 2 certificate
Level 3 certificate	三级证书	name	item	Level 3 certificate
Ceramic remains	陶瓷残片	name	item	Ceramic remains
Old tooth	古老的牙齿	name	item	Old tooth
Invitation letter	邀请信	name	item	Invitation letter
Damaged armour	破损的盔甲	name	item	Damaged armour
Broken armour	破碎的盔甲	name	item	Broken armour
Stone tablet	石板	name	item	Stone tablet
Chemical powder	化学粉末	name	item	Chemical powder
Ammonium nitrate	硝酸铵	name	item	Ammonium nitrate
Unidentified liquid	不明液体	name	item	Unidentified liquid
Nitroglycerin	硝化甘油	name	item	Nitroglycerin
Ground charcoal	木炭粉	name	item	Ground charcoal
Mixed chemicals	混合化学品	name	item	Mixed chemicals
Chemical compound	化合物	name	item	Chemical compound
Arcenia root	阿塞尼亚根	name	item	Arcenia root
Vase	花瓶	name	item	Vase
Book on chemicals	化学品手册	name	item	Book on chemicals
Cup of tea	一杯茶	name	item	Cup of tea
Clue scroll	线索卷轴	name	item	Clue scroll
Radimus notes	拉迪穆斯的笔记	name	item	Radimus notes
Bullroarer	牛吼器	name	item	Bullroarer
Scrawled note	潦草的笔记	name	item	Scrawled note
A scribbled note	涂写的笔记	name	item	A scribbled note
Scrumpled note	揉皱的笔记	name	item	Scrumpled note
Sketch	草图	name	item	Sketch
Gold bowl	金碗	name	item	Gold bowl
Blessed gold bowl	被祝福的金碗	name	item	Blessed gold bowl
Golden bowl	金碗	name	item	Golden bowl
Hollow reed	空心芦苇	name	item	Hollow reed
Shaman's tome	萨满之书	name	item	Shaman's tome
Binding book	束缚之书	name	item	Binding book
Enchanted vial	魔法小瓶	name	item	Enchanted vial
Holy water	圣水	name	item	Holy water
Smashed glass	碎玻璃	name	item	Smashed glass
Yommi tree seeds	约米树种子	name	item	Yommi tree seeds
Snakeweed mixture	蛇草混合物	name	item	Snakeweed mixture
Ardrigal mixture	阿德里加草混合物	name	item	Ardrigal mixture
Bravery potion	勇气药水	name	item	Bravery potion
Chunk of crystal	水晶块	name	item	Chunk of crystal
Hunk of crystal	大水晶块	name	item	Hunk of crystal
Lump of crystal	水晶团块	name	item	Lump of crystal
Heart crystal	心形水晶	name	item	Heart crystal
Dark dagger	黑暗匕首	name	item	Dark dagger
Glowing dagger	发光匕首	name	item	Glowing dagger
Holy force	圣力	name	item	Holy force
Yommi totem	约米图腾	name	item	Yommi totem
Gilded totem	镀金图腾	name	item	Gilded totem
Gnomeball	地精球	name	item	Gnomeball
Cadava berries	卡达瓦莓	name	item	Cadava berries
Message	信息	name	item	Message
Cadava potion	卡达瓦药水	name	item	Cadava potion
Book	书籍	name	item	Book
Phoenix hq key	凤凰帮总部钥匙	name	item	Phoenix hq key
Weapon store key	武器库钥匙	name	item	Weapon store key
Intel report	情报报告	name	item	Intel report
Falador shield	法拉多盾	name	item	Falador shield
Broken shield	破损的盾牌	name	item	Broken shield
Coal bag	煤袋	name	item	Coal bag
Gem bag	宝石袋	name	item	Gem bag
Phoenix crossbow	凤凰弩	name	item	Phoenix crossbow
Certificate	证书	name	item	Certificate
Ardougne cloak	阿多尼斗篷	name	item	Ardougne cloak
Dramen branch	德拉门树枝	name	item	Dramen branch
Dramen staff	德拉门法杖	name	item	Dramen staff
'perfect' ring	'完美''戒指	name	item	'perfect' ring
'perfect' necklace	'完美''项链	name	item	'perfect' necklace
Cooking gauntlets	烹饪手套	name	item	Cooking gauntlets
Goldsmith gauntlets	金匠手套	name	item	Goldsmith gauntlets
Chaos gauntlets	混沌手套	name	item	Chaos gauntlets
Steel gauntlets	钢手套	name	item	Steel gauntlets
Crest part	徽章部件	name	item	Crest part
Family crest	家徽	name	item	Family crest
Bark sample	树皮样本	name	item	Bark sample
Translation book	词典	name	item	Translation book
Glough's journal	格劳夫的日记	name	item	Glough's journal
Hazelmere's scroll	黑兹尔米尔的卷轴	name	item	Hazelmere's scroll
Lumber order	木材订单	name	item	Lumber order
Glough's key	格劳夫的钥匙	name	item	Glough's key
Twigs	树枝	name	item	Twigs
Daconia rock	达科尼亚石	name	item	Daconia rock
Invasion plans	入侵计划	name	item	Invasion plans
War ship	战船	name	item	War ship
Bronze thrownaxe	青铜投斧	name	item	Bronze thrownaxe
Iron thrownaxe	铁制投斧	name	item	Iron thrownaxe
Steel thrownaxe	钢制投斧	name	item	Steel thrownaxe
Mithril thrownaxe	秘银投斧	name	item	Mithril thrownaxe
Adamant thrownaxe	精金投斧	name	item	Adamant thrownaxe
Rune thrownaxe	符文投斧	name	item	Rune thrownaxe
Bronze dart	青铜飞镖	name	item	Bronze dart
Iron dart	铁制飞镖	name	item	Iron dart
Steel dart	钢制飞镖	name	item	Steel dart
Mithril dart	秘银飞镖	name	item	Mithril dart
Adamant dart	精金飞镖	name	item	Adamant dart
Rune dart	符文飞镖	name	item	Rune dart
Bronze dart(p)	青铜飞镖 (毒)	name	item	Bronze dart(p)
Iron dart (p)	铁制飞镖 (毒)	name	item	Iron dart (p)
Steel dart(p)	钢制飞镖 (毒)	name	item	Steel dart(p)
Mithril dart(p)	秘银飞镖 (毒)	name	item	Mithril dart(p)
Adamant dart(p)	精金飞镖 (毒)	name	item	Adamant dart(p)
Rune dart(p)	符文飞镖 (毒)	name	item	Rune dart(p)
Poisoned dart(p)	毒飞镖 (毒)	name	item	Poisoned dart(p)
Bronze dart tip	青铜镖尖	name	item	Bronze dart tip
Iron dart tip	铁制镖尖	name	item	Iron dart tip
Steel dart tip	钢制镖尖	name	item	Steel dart tip
Mithril dart tip	秘银镖尖	name	item	Mithril dart tip
Adamant dart tip	精金镖尖	name	item	Adamant dart tip
Rune dart tip	符文镖尖	name	item	Rune dart tip
Bronze javelin	青铜标枪	name	item	Bronze javelin
Iron javelin	铁制标枪	name	item	Iron javelin
Steel javelin	钢制标枪	name	item	Steel javelin
Mithril javelin	秘银标枪	name	item	Mithril javelin
Adamant javelin	精金标枪	name	item	Adamant javelin
Rune javelin	符文标枪	name	item	Rune javelin
Bronze javelin(p)	青铜标枪 (毒)	name	item	Bronze javelin(p)
Iron javelin(p)	铁制标枪 (毒)	name	item	Iron javelin(p)
Steel javelin(p)	钢制标枪 (毒)	name	item	Steel javelin(p)
Mithril javelin(p)	秘银标枪 (毒)	name	item	Mithril javelin(p)
